id;code;name;status
1;Isle;Fantastic;INACTIVE
2;Borders Money Market Account;Health interface bypass;INACTIVE
3;override orchid reboot;invoice;INACTIVE
4;users backing up;drive;ACTIVE
5;panel;Configuration;ACTIVE
6;Technician Central;standardization Buckinghamshire Refined Fresh Towels;ACTIVE
7;Russian Ruble standardization;Borders;ACTIVE
8;District French Southern Territories;middleware next-generation;ACTIVE
9;Concrete 24/7;Handcrafted Frozen Shoes generating strategize;ACTIVE
10;Refined Cotton Mouse copying architectures;THX generating Borders;ACTIVE
