id;jhi_from;jhi_to;rate;source_currency;target_currency
1;2020-05-02T07:45:25;2020-05-02T12:19:53;80614;CNY;USD
2;2020-05-02T13:05:17;2020-05-02T23:50:09;48113;JPY;TWD
3;2020-05-02T20:59:35;2020-05-03T05:42:37;94887;EUR;JPY
4;2020-05-02T09:13:18;2020-05-02T18:57:04;7594;KRW;USD
5;2020-05-02T16:13:17;2020-05-02T23:28:45;92991;JPY;JPY
6;2020-05-03T06:15:28;2020-05-03T06:19:46;44380;TWD;CNY
7;2020-05-02T16:13:55;2020-05-02T15:07:44;67750;HKD;HKD
8;2020-05-03T01:59:43;2020-05-02T16:29:57;29858;JPY;HKD
9;2020-05-03T01:12:41;2020-05-02T20:57:10;64553;HKD;CNY
10;2020-05-03T07:11:03;2020-05-02T18:58:00;73669;KRW;EUR
