id;code;name;status
1;Virtual;transmitter Seychelles Rupee;ACTIVE
2;Incredible Cotton Pizza;scalable;INACTIVE
3;Electronics Tasty Configuration;Intelligent Granite Shirt Savings Account;INACTIVE
4;solution-oriented Specialist;Avon maximize;ACTIVE
5;Sleek Soft Ball;Won;INACTIVE
6;vortals Concrete;Unbranded Steel Towels Home distributed;INACTIVE
7;salmon bypassing infrastructures;engineer capacity;ACTIVE
8;web-enabled schemas program;Grocery;INACTIVE
9;Licensed Home Loan Account New York;Hawaii;ACTIVE
10;Orchestrator;Pennsylvania encryption payment;INACTIVE
