id;jhi_from;jhi_to;price;currency
1;2020-05-02T12:25:48;2020-05-02T15:05:11;14519;USD
2;2020-05-02T22:02:33;2020-05-02T13:06:57;46637;CNY
3;2020-05-02T19:44:14;2020-05-02T09:17:00;20188;KRW
4;2020-05-03T04:09:21;2020-05-02T21:07:39;41585;USD
5;2020-05-02T08:01:26;2020-05-02T21:53:39;47621;TWD
6;2020-05-03T01:18:22;2020-05-02T22:16:42;1518;USD
7;2020-05-02T18:42:42;2020-05-03T06:32:55;36320;KRW
8;2020-05-02T21:07:00;2020-05-02T08:36:26;55494;EUR
9;2020-05-03T02:49:32;2020-05-02T23:51:14;86803;JPY
10;2020-05-03T00:33:41;2020-05-03T02:40:14;40417;JPY
