id;code;is_default;quantity;currency;price;color_id;size_id;product_id
1;ITEM001;FALSE;1;HKD;1;1;3;1
2;ITEM002;FALSE;2;HKD;2;1;4;1
3;ITEM003;FALSE;3;HKD;3;2;3;1
4;ITEM004;FALSE;4;HKD;4;2;4;1
5;ITEM001;FALSE;1;HKD;1;5;7;2
6;ITEM002;FALSE;2;HKD;2;5;8;2
7;ITEM003;FALSE;3;HKD;3;6;7;2
8;ITEM004;FALSE;4;HKD;4;6;8;2
9;ITEM001;FALSE;1;HKD;1;9;11;3
10;ITEM002;FALSE;2;HKD;2;9;12;3
11;ITEM003;FALSE;3;HKD;3;10;11;3
12;ITEM004;FALSE;4;HKD;4;10;12;3
13;ITEM001;FALSE;1;HKD;1;13;15;4
14;ITEM002;FALSE;2;HKD;2;13;16;4
15;ITEM003;FALSE;3;HKD;3;14;15;4
16;ITEM004;FALSE;4;HKD;4;14;16;4
17;ITEM001;FALSE;1;HKD;1;17;19;5
18;ITEM002;FALSE;2;HKD;2;17;20;5
19;ITEM003;FALSE;3;HKD;3;18;19;5
20;ITEM004;FALSE;4;HKD;4;18;20;5
21;ITEM001;FALSE;1;HKD;1;21;23;6
22;ITEM002;FALSE;2;HKD;2;21;24;6
23;ITEM003;FALSE;3;HKD;3;22;23;6
24;ITEM004;FALSE;4;HKD;4;22;24;6
25;ITEM001;FALSE;1;HKD;1;25;27;7
26;ITEM002;FALSE;2;HKD;2;25;28;7
27;ITEM003;FALSE;3;HKD;3;26;27;7
28;ITEM004;FALSE;4;HKD;4;26;28;7
29;ITEM001;FALSE;1;HKD;1;29;31;8
30;ITEM002;FALSE;2;HKD;2;29;32;8
31;ITEM003;FALSE;3;HKD;3;30;31;8
32;ITEM004;FALSE;4;HKD;4;30;32;8
33;ITEM001;FALSE;1;HKD;1;33;35;9
34;ITEM002;FALSE;2;HKD;2;33;36;9
35;ITEM003;FALSE;3;HKD;3;34;35;9
36;ITEM004;FALSE;4;HKD;4;34;36;9
37;ITEM001;FALSE;1;HKD;1;37;39;10
38;ITEM002;FALSE;2;HKD;2;37;40;10
39;ITEM003;FALSE;3;HKD;3;38;39;10
40;ITEM004;FALSE;4;HKD;4;38;40;10
41;emulation Seychelles Rupee Tools;true;28091;KRW;77034;41;42;11
42;Investment Account Checking Account;false;30532;USD;26693;41;43;11
43;primary Global;true;58331;TWD;36542;41;44;11
44;Steel;false;33222;USD;1651;41;45;11
45;Plastic Industrial Eritrea;true;69653;CNY;70603;41;46;11
46;projection;true;58016;USD;1312;41;47;11
47;Analyst hack;true;19778;CNY;60194;41;48;11
48;Electronics;false;61133;USD;62668;41;49;11
49;microchip;true;2557;KRW;34398;41;50;11
50;Program Orchestrator Outdoors;false;55747;JPY;56080;41;51;11
