id;code;is_default;quantity;currency;price;created_by;created_date
1;mesh real-time Home;false;21861;HKD;55488;relationships primary;2020-05-03T02:56:37
2;enterprise cyan;true;61303;HKD;62246;Web Synchronised;2020-05-02T11:52:24
3;compelling Cheese Licensed Metal Bacon;false;96431;CNY;37415;Industrial Operative syndicate;2020-05-02T10:23:00
4;bluetooth Directives Cambridgeshire;true;64561;JPY;85736;backing up magenta;2020-05-03T01:58:38
5;synthesizing Plastic Balanced;true;45978;USD;45945;IB THX responsive;2020-05-03T04:49:39
6;Buckinghamshire Lodge RAM;false;85634;CNY;73017;Configuration Focused Intelligent Soft Pizza;2020-05-02T15:39:48
7;azure;false;62295;JPY;89691;access;2020-05-02T18:21:50
8;Bike Sleek Frozen Gloves Handcrafted Fresh Hat;true;39113;JPY;67492;Global Buckinghamshire;2020-05-02T12:14:00
9;networks;true;2961;HKD;83594;mint green Buckinghamshire Data;2020-05-03T04:27:58
10;HDD;true;767;HKD;13520;Libyan Arab Jamahiriya AI;2020-05-02T16:18:02
