id;name;code;is_default;type;created_by;created_date
1;Supervisor;Soap;true;COLOR;demand-driven experiences Customer;2020-05-02T08:58:28
2;Illinois;leading-edge;true;COLOR;Hawaii primary;2020-05-03T03:55:57
3;Global;optimize bypass;false;COLOR;Sleek;2020-05-02T22:56:32
4;Designer Incredible Wooden Table;Florida Toys Ouguiya;true;SIZE;Pound Sterling architectures;2020-05-02T15:09:55
5;card;project paradigms Hat;true;SIZE;impactful;2020-05-02T14:16:21
6;Gorgeous Spurs Cheese;Global heuristic;true;COLOR;Money Market Account Small Metal Shoes Bouvet Island (Bouvetoya);2020-05-03T05:57:20
7;Licensed metrics parse;invoice parse;false;SIZE;global;2020-05-03T03:12:10
8;scalable;Plains Security multi-byte;false;COLOR;Bedfordshire Pine Data;2020-05-02T12:36:00
9;quantify;Licensed intangible;true;SIZE;Suriname;2020-05-02T12:16:57
10;Brunei Dollar communities;incubate;true;SIZE;Indian Rupee Ngultrum;2020-05-02T10:47:56
