id;jhi_from;jhi_to;quantity
1;2020-05-02T12:35:00;2020-05-02T16:21:00;76166
2;2020-05-03T05:03:24;2020-05-03T01:46:50;6687
3;2020-05-03T02:06:16;2020-05-02T21:03:23;35915
4;2020-05-03T04:50:15;2020-05-03T04:20:03;65713
5;2020-05-02T08:52:25;2020-05-02T23:19:07;88207
6;2020-05-03T03:40:23;2020-05-03T07:12:20;24107
7;2020-05-02T19:35:42;2020-05-02T09:05:28;93918
8;2020-05-02T16:30:08;2020-05-02T08:25:05;51170
9;2020-05-03T03:43:26;2020-05-02T19:44:03;74710
10;2020-05-02T14:12:28;2020-05-02T14:41:17;81096
