id;type;value;price;sequence;shop_id
1;FIXED_PER_ORDER;0;0;1;1
2;FIXED_PER_ORDER;0;10;1;2
3;QUANTITY_LARGER_THAN;52122;45040;96468;3
4;PRICE_SMALLER_THAN_OR_EQUAL;8203;14388;44861;3
5;QUANTITY_LARGER_THAN;39677;41357;77845;3
6;PRICE_LARGER_THAN;85523;43392;80253;3
7;PRICE_SMALLER_THAN;58712;20668;98186;3
8;QUANTITY_LARGER_THAN_OR_EQUAL;64874;59480;58173;3
9;QUANTITY_SMALLER_THAN;89218;42092;78532;3
10;TOTAL_PERCENTAGE;72696;25650;23486;3
11;TOTAL_PERCENTAGE;10470;9959;36034;3
12;QUANTITY_LARGER_THAN_OR_EQUAL;14493;86136;75088;3
