id;name;description;price;currency
1;ShipBySeller;Ship By Seller;0;HKD
2;Synergistic Intelligent;Accountability;57007;CNY
3;calculating bypassing;Factors Meadow;66523;TWD
4;Delaware revolutionize quantify;overriding;36207;HKD
5;transform payment;Borders Minnesota;86037;USD
6;Kyrgyz Republic;Berkshire Shirt Liberian Dollar;80684;KRW
7;Markets relationships;core azure networks;40922;JPY
8;mindshare;networks;98502;CNY
9;AGP Automotive;Internal;77457;TWD
10;support Saudi Riyal Unbranded;Directives payment;27826;CNY
11;deposit Architect Sleek Cotton Car;capacitor Sausages;37565;HKD
